,NOME,ANO_PESQUISA,ANO_INGRESSO,INSTITUICAO_ENSINO_ALUNO,IDADE_ALUNO,ANOS_PM,FASE,TURMA,NIVEL_IDEAL,PONTO_VIRADA,INDICADO_BOLSA,BOLSISTA,INDE,INDE_CONCEITO,PEDRA,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,IEG,IDA,IPV,IAA,IPS,IPP,IAN,CF,CG,CT,QTD_AVAL,REC_AVA_1,REC_AVA_2,REC_AVA_3,REC_AVA_4,REC_EQUIPE_1,REC_EQUIPE_2,REC_EQUIPE_3,REC_EQUIPE_4,DEFASAGEM,SINALIZADOR_INGRESSANTE,NOTA_PORT,NOTA_MAT,NOTA_ING
433,ALUNO-767,2020,,Escola Pública,13.0,2.0,3,L,,Não,,,7.096875,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,5.0,7.0,6.16666,9.16668,7.5,7.96875,10.0,,,,,,,,,,,,,,,,,
434,ALUNO-768,2020,,Rede Decisão/União,14.0,3.0,3,G,,Sim,,,7.727224,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.9,7.666666666666667,8.77778,7.916679999999999,4.375,7.291666666666667,5.0,,,,,,,,,,,,,,,,,
435,ALUNO-773,2020,,Escola Pública,12.0,4.0,2,E,,Sim,,,7.854724666666667,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,5.6,9.5,8.944446666666664,9.000020000000001,7.5,8.958333333333334,5.0,,,,,,,,,,,,,,,,,
436,ALUNO-776,2020,,Escola Pública,14.0,0.0,3,R,,Não,,,5.591389333333334,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,5.2,1.6666666666666667,6.611106666666666,9.16668,7.5,7.291666666666667,5.0,,,,,,,,,,,,,,,,,
437,ALUNO-777,2020,,Escola Pública,13.0,1.0,1,D,,Não,,,7.012085000000001,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.8,7.25,7.416665,8.000020000000001,5.0,7.1875,5.0,,,,,,,,,,,,,,,,,
438,ALUNO-779,2020,,Escola Pública,16.0,3.0,6,C,,Não,,,6.48,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,3.9,4.0,7.624995,8.75001,7.5,7.5,10.0,,,,,,,,,,,,,,,,,
439,ALUNO-780,2020,,Escola Pública,12.0,0.0,3,M,,Não,,,8.103542166666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.2,8.333333333333334,6.6666625,9.16668,7.5,7.96875,10.0,,,,,,,,,,,,,,,,,
440,ALUNO-782,2020,,Rede Decisão/União,14.0,3.0,5,B,,Sim,,,8.435835666666668,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.7,5.666666666666667,9.166673333333334,8.75001,9.375,9.166666666666666,10.0,,,,,,,,,,,,,,,,,
441,ALUNO-783,2020,,Escola Pública,11.0,0.0,1,M,,Não,,,6.995835000000001,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.0,4.5,7.916665,8.500020000000001,7.5,8.125,5.0,,,,,,,,,,,,,,,,,
442,ALUNO-785,2020,,Escola Pública,11.0,1.0,2,B,,Não,,,8.812502,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.5,9.0,7.75,10.00002,7.5,8.125,10.0,,,,,,,,,,,,,,,,,
443,ALUNO-786,2020,,Escola Pública,16.0,2.0,5,F,,Não,,,5.065416,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,1.9,3.0,6.83333,7.5,7.5,7.1875,5.0,,,,,,,,,,,,,,,,,
444,ALUNO-789,2020,,Escola Pública,15.0,2.0,4,L,,Não,,,4.682222333333334,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,2.8,0.0,5.611103333333333,9.58335,7.5,7.916666666666668,5.0,,,,,,,,,,,,,,,,,
445,ALUNO-790,2020,,Escola Pública,13.0,1.0,3,C,,Sim,,,9.198059333333331,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.9,8.666666666666666,9.777786666666666,10.00002,7.5,9.791666666666666,10.0,,,,,,,,,,,,,,,,,
446,ALUNO-792,2020,,Escola Pública,11.0,3.0,1,G,,Não,,,7.783335,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.5,10.0,7.166665,9.000020000000001,4.375,8.125,5.0,,,,,,,,,,,,,,,,,
